Data Source in SDW: http://sdw/quickview.do?SERIES_KEY=6.BISM.D.QKBA.US.02
,BISM.D.QKBA.US.02
,"United States - EXCH.RATE: US DOLLARS/1 EUR,SPOT AT 2:15 PM (CET)D& W,M,Q,A-AVG - NATIONAL CURRENCY EQUIVALENTS OF EURO (ECB REFERENCE RATE)"
Collection:,Middle of period (M)
Period\Unit:,[US dollar ]
2017-04-04,1.065100000
2017-04-03,1.066100000
2017-03-31,1.069100000
2017-03-30,1.073700000
2017-03-29,1.074800000
2017-03-28,1.085900000
2017-03-27,1.088900000
2017-03-24,1.080500000
2017-03-23,1.078600000
2017-03-22,1.080700000
2017-03-21,1.080200000
2017-03-20,1.075200000
2017-03-17,1.073700000
2017-03-16,1.072600000
2017-03-15,1.062200000
2017-03-14,1.063100000
2017-03-13,1.066300000
2017-03-10,1.060600000
2017-03-09,1.055100000
2017-03-08,1.055600000
2017-03-07,1.057600000
2017-03-06,1.059200000
2017-03-03,1.056500000
2017-03-02,1.051400000
2017-03-01,1.053300000
2017-02-28,1.059700000
2017-02-27,1.058700000
2017-02-24,1.060900000
2017-02-23,1.057300000
2017-02-22,1.051300000
2017-02-21,1.053700000
2017-02-20,1.061600000
2017-02-17,1.065000000
2017-02-16,1.065200000
2017-02-15,1.055500000
2017-02-14,1.062300000
2017-02-13,1.062900000
2017-02-10,1.062900000
2017-02-09,1.069200000
2017-02-08,1.066500000
2017-02-07,1.067500000
2017-02-06,1.071200000
2017-02-03,1.074100000
2017-02-02,1.080800000
2017-02-01,1.079000000
2017-01-31,1.075500000
2017-01-30,1.063000000
2017-01-27,1.068100000
2017-01-26,1.070000000
2017-01-25,1.074300000
2017-01-24,1.074800000
2017-01-23,1.071500000
2017-01-20,1.063200000
2017-01-19,1.066800000
2017-01-18,1.066400000
2017-01-17,1.068400000
2017-01-16,1.059400000
2017-01-13,1.066100000
2017-01-12,1.067900000
2017-01-11,1.050300000
2017-01-10,1.056700000
2017-01-09,1.051600000
2017-01-06,1.058900000
2017-01-05,1.050100000
2017-01-04,1.043700000
2017-01-03,1.038500000
2017-01-02,1.046500000
2016-12-30,1.054100000
2016-12-29,1.045300000
2016-12-28,1.040100000
2016-12-27,1.044500000
2016-12-23,1.044600000
2016-12-22,1.044400000
2016-12-21,1.042100000
2016-12-20,1.036400000
2016-12-19,1.042200000
2016-12-16,1.043900000
2016-12-15,1.041900000
2016-12-14,1.064400000
2016-12-13,1.061000000
2016-12-12,1.059600000
2016-12-09,1.055900000
2016-12-08,1.076200000
2016-12-07,1.073000000
2016-12-06,1.073400000
2016-12-05,1.070200000
2016-12-02,1.064200000
2016-12-01,1.062700000
2016-11-30,1.063500000
2016-11-29,1.057600000
2016-11-28,1.058800000
2016-11-25,1.059200000
2016-11-24,1.054800000
2016-11-23,1.060200000
2016-11-22,1.061700000
2016-11-21,1.063100000
2016-11-18,1.062900000
2016-11-17,1.071700000
2016-11-16,1.070200000
2016-11-15,1.076500000
2016-11-14,1.077700000
2016-11-11,1.090400000
2016-11-10,1.089500000
2016-11-09,1.102200000
2016-11-08,1.103800000
2016-11-07,1.106200000
2016-11-04,1.109300000
2016-11-03,1.106400000
2016-11-02,1.109500000
2016-11-01,1.102500000
2016-10-31,1.094600000
2016-10-28,1.092200000
2016-10-27,1.092700000
2016-10-26,1.092500000
2016-10-25,1.087200000
2016-10-24,1.089100000
2016-10-21,1.088600000
2016-10-20,1.098000000
2016-10-19,1.097900000
2016-10-18,1.099300000
2016-10-17,1.099400000
2016-10-14,1.100200000
2016-10-13,1.103800000
2016-10-12,1.102000000
2016-10-11,1.107900000
2016-10-10,1.116000000
2016-10-07,1.114000000
2016-10-06,1.118500000
2016-10-05,1.121100000
2016-10-04,1.116100000
2016-10-03,1.123600000
2016-09-30,1.116100000
2016-09-29,1.122100000
2016-09-28,1.122500000
2016-09-27,1.122000000
2016-09-26,1.126200000
2016-09-23,1.121400000
2016-09-22,1.123800000
2016-09-21,1.115000000
2016-09-20,1.118400000
2016-09-19,1.116500000
2016-09-16,1.122600000
2016-09-15,1.125400000
2016-09-14,1.121800000
2016-09-13,1.124700000
2016-09-12,1.122600000
2016-09-09,1.126800000
2016-09-08,1.129600000
2016-09-07,1.123700000
2016-09-06,1.115900000
2016-09-05,1.115600000
2016-09-02,1.119300000
2016-09-01,1.114600000
2016-08-31,1.113200000
2016-08-30,1.116800000
2016-08-29,1.117000000
2016-08-26,1.129000000
2016-08-25,1.129000000
2016-08-24,1.126800000
2016-08-23,1.133900000
2016-08-22,1.130600000
2016-08-19,1.132600000
2016-08-18,1.132100000
2016-08-17,1.127600000
2016-08-16,1.129500000
2016-08-15,1.118000000
2016-08-12,1.115800000
2016-08-11,1.115300000
2016-08-10,1.118400000
2016-08-09,1.107800000
2016-08-08,1.108700000
2016-08-05,1.115600000
2016-08-04,1.113600000
2016-08-03,1.120000000
2016-08-02,1.119300000
2016-08-01,1.116400000
2016-07-29,1.111300000
2016-07-28,1.109000000
2016-07-27,1.099100000
2016-07-26,1.099700000
2016-07-25,1.098200000
2016-07-22,1.101400000
2016-07-21,1.101500000
2016-07-20,1.101300000
2016-07-19,1.103500000
2016-07-18,1.105300000
2016-07-15,1.112800000
2016-07-14,1.115700000
2016-07-13,1.107200000
2016-07-12,1.109200000
2016-07-11,1.104900000
2016-07-08,1.107000000
2016-07-07,1.108000000
2016-07-06,1.106900000
2016-07-05,1.114600000
2016-07-04,1.113800000
2016-07-01,1.113500000
2016-06-30,1.110200000
2016-06-29,1.109000000
2016-06-28,1.107300000
2016-06-27,1.099800000
2016-06-24,1.106600000
2016-06-23,1.138900000
2016-06-22,1.128300000
2016-06-21,1.131400000
2016-06-20,1.133200000
2016-06-17,1.125400000
2016-06-16,1.117400000
2016-06-15,1.123000000
2016-06-14,1.122500000
2016-06-13,1.126800000
2016-06-10,1.130400000
2016-06-09,1.134300000
2016-06-08,1.137800000
2016-06-07,1.134800000
2016-06-06,1.134900000
2016-06-03,1.115400000
2016-06-02,1.118800000
2016-06-01,1.117400000
2016-05-31,1.115400000
2016-05-30,1.113900000
2016-05-27,1.116800000
2016-05-26,1.116800000
2016-05-25,1.114600000
2016-05-24,1.116800000
2016-05-23,1.121500000
2016-05-20,1.121900000
2016-05-19,1.119700000
2016-05-18,1.127900000
2016-05-17,1.131800000
2016-05-16,1.132400000
2016-05-13,1.134800000
2016-05-12,1.138900000
2016-05-11,1.140900000
2016-05-10,1.137500000
2016-05-09,1.139500000
2016-05-06,1.142700000
2016-05-05,1.143900000
2016-05-04,1.150500000
