year,month,pc1ff1_hf,sp500_hf,MP_pm,CBI_pm,MP_median,CBI_median,MP_q25,CBI_q25,MP_q75,CBI_q75,MP_q10,CBI_q10,MP_q90,CBI_q90
2009,12,0.00084332,-0.09519,0.00084332,0,0.00522684,-0.00438352,0.00343181,-0.00258849,0.00575524,-0.00491192,0.00193301,-0.00108969,0.00539068,-0.00454736
2010,1,0.02405494,0.0819,0,0.02405494,0.00789317,0.01616177,0.01657317,0.00748177,0.00030295,0.02375199,0.02134613,0.00270881,-0.00286679,0.02692173
2010,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,3,-0.03626412,0.18716,-0.03626412,-0,-0.02757988,-0.00868424,-0.03401539,-0.00224873,-0.01865396,-0.01761016,-0.03593306,-0.00033106,-0.01307257,-0.02319155
2010,4,-0.0135555,0.20239,-0.0135555,-0,-0.01699438,0.00343888,-0.01656486,0.00300936,-0.01473083,0.00117533,-0.0150316,0.0014761,-0.01230224,-0.00125326
2010,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,6,0.0061056,0.34373,0,0.0061056,-0.01429866,0.02040426,-0.00518184,0.01128744,-0.0188417,0.0249473,0.00151667,0.00458893,-0.01881159,0.02491719
2010,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,8,-0.02265853,0.69335,-0.02265853,-0,-0.04632951,0.02367098,-0.03801056,0.01535203,-0.04542253,0.022764,-0.02941513,0.0067566,-0.04044542,0.01778689
2010,9,-0.00590017,0.62964,-0.00590017,-0,-0.03473425,0.02883408,-0.02295364,0.01705347,-0.03813668,0.03223651,-0.01308496,0.00718479,-0.03567997,0.0297798
2010,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,11,-0.00204684,-0.48747,-0,-0.00204684,0.02358402,-0.02563086,0.01255869,-0.01460553,0.02812293,-0.03016977,0.00398846,-0.0060353,0.02715077,-0.02919761
2010,12,-0.00235715,0.00883,-0.00235715,-0,-0.00162431,-0.00073284,-0.00211402,-0.00024313,-0.00101711,-0.00134004,-0.00229534,-6.181e-05,-0.00066294,-0.00169421
2011,1,-0.01206362,-0.05857,-0,-0.01206362,-0.0030752,-0.00898842,-0.00780283,-0.00426079,0.00087307,-0.01293669,-0.01049377,-0.00156985,0.00241749,-0.01448111
2011,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,3,0.00695534,0.28501,0,0.00695534,-0.01090961,0.01786495,-0.00280521,0.00976055,-0.01522158,0.02217692,0.00301505,0.00394029,-0.01546268,0.02241802
2011,4,-0.02456938,0.51845136,-0.02456938,-0,-0.03845607,0.01388669,-0.03443165,0.00986227,-0.03558181,0.01101243,-0.02907649,0.00450711,-0.03078812,0.00621874
2011,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,6,1.318e-05,-0.39945541,1.318e-05,0,0.02017106,-0.02015788,0.01162316,-0.01160998,0.02340368,-0.0233905,0.00483796,-0.00482478,0.02236943,-0.02235625
2011,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,8,-0.02808852,-0.89025,-0,-0.02808852,0.03089548,-0.058984,0.00374854,-0.03183706,0.04619648,-0.074285,-0.01532593,-0.01276259,0.04784402,-0.07593254
2011,9,0.05447601,-0.26924,0.05447601,0,0.04082922,0.01364679,0.05075167,0.00372434,0.02732417,0.02715184,0.05383479,0.00064122,0.01897059,0.03550542
2011,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,11,0.00687203,0.3855023,0,0.00687203,-0.01602411,0.02289614,-0.00579231,0.01266434,-0.02112628,0.02799831,0.00172368,0.00514835,-0.02109595,0.02796798
2011,12,0.00833881,-0.75199,0.00833881,0,0.04212979,-0.03379098,0.02843207,-0.02009326,0.0458213,-0.03748249,0.01682737,-0.00848856,0.04270556,-0.03436675
2012,1,-0.01957941,0.5552879,-0.01957941,-0,-0.03782059,0.01824118,-0.03157069,0.01199128,-0.03668165,0.01710224,-0.0248882,0.00530879,-0.0324942,0.01291479
2012,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,3,0.00961715,-0.05568,0.00961715,0,0.0076193,0.00199785,0.00919655,0.0004206,0.00530115,0.004316,0.00960239,1.476e-05,0.00380535,0.0058118
2012,4,-0.00355988,0.03413981,-0.00355988,-0,-0.00350331,-5.657e-05,-0.00379751,0.00023763,-0.00275485,-0.00080503,-0.00371786,0.00015798,-0.0021662,-0.00139368
2012,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,6,0.0225596,-0.43202903,0.0225596,0,0.03308859,-0.01052899,0.03033561,-0.00777601,0.03009285,-0.00753325,0.02616632,-0.00360672,0.02580504,-0.00324544
2012,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,8,0.01523028,-0.01087,0.01523028,0,0.00816386,0.00706642,0.01231673,0.00291355,0.00386634,0.01136394,0.01427297,0.00095731,0.00169732,0.01353296
2012,9,0.01221492,1.01242172,0,0.01221492,-0.0449995,0.05721442,-0.01980788,0.0320228,-0.05671951,0.06893443,-0.00088899,0.01310391,-0.05581993,0.06803485
2012,10,-0.00256258,-0.05795,-0,-0.00256258,0.00164402,-0.0042066,-0.00033449,-0.00222809,0.00285143,-0.00541401,-0.00167933,-0.00088325,0.00306188,-0.00562446
2012,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,12,-0.00499873,-0.19638299,-0,-0.00499873,0.00741403,-0.01241276,0.0017704,-0.00676913,0.01044453,-0.01544326,-0.00226898,-0.00272975,0.01063965,-0.01563838
2013,1,0.00144206,-0.0604,0.00144206,0,0.00377002,-0.00232796,0.00289219,-0.00145013,0.00384414,-0.00240208,0.00206866,-0.0006266,0.00348532,-0.00204326
2013,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,3,0.00449493,0.30540736,0,0.00449493,-0.01316947,0.0176644,-0.00533687,0.0098318,-0.01693822,0.02143315,0.00048409,0.00401084,-0.01678074,0.02127567
2013,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,5,-0.00228563,0.14757,-0.00228563,-0,-0.00859214,0.00630651,-0.00609105,0.00380542,-0.00912961,0.00684398,-0.00390501,0.00161938,-0.00842692,0.00614129
2013,6,0.01521265,-1.07903148,0.01521265,0,0.06207573,-0.04686308,0.04335592,-0.02814327,0.06643762,-0.05122497,0.02716078,-0.01194813,0.06151038,-0.04629773
2013,7,0.00355988,0.46186,0,0.00355988,-0.02153471,0.02509459,-0.01062196,0.01418184,-0.02630181,0.02986169,-0.00227419,0.00583407,-0.02560853,0.02916841
2013,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,9,-0.03541171,1.24731209,-0.03541171,-0,-0.08067005,0.04525834,-0.06416397,0.02875226,-0.08057902,0.04516731,-0.04794901,0.0125373,-0.07237745,0.03696574
2013,10,0.00235715,-0.33014,0.00235715,0,0.01784401,-0.01548686,0.01145499,-0.00909784,0.01984009,-0.01748294,0.006177,-0.00381985,0.01865548,-0.01629833
2013,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,12,-0.00178858,1.83957732,-0.00178858,-0,-0.09375598,0.0919674,-0.05488863,0.05310005,-0.10814535,0.10635677,-0.0238842,0.02209562,-0.10313948,0.1013509
2014,1,-0.00112052,-0.45282,-0,-0.00112052,0.02229805,-0.02341857,0.01228125,-0.01340177,0.02628949,-0.02741001,0.00442998,-0.0055505,0.02527667,-0.02639719
2014,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,3,0.05911789,-0.43199769,0.05911789,0,0.05136615,0.00775174,0.05914086,-2.297e-05,0.03784314,0.02127475,0.06011111,-0.00099322,0.0284164,0.03070149
2014,4,0.00123663,0.02448,0,0.00123663,-0.00061743,0.00185406,0.00026273,0.0009739,-0.00117186,0.00240849,0.0008525,0.00038413,-0.00128243,0.00251906
